DATE,UNRATE_CPIAUCSL_PC1
1975-01-01,19.85214
1975-02-01,19.30507
1975-03-01,19.06025
1975-04-01,18.98711
1975-05-01,18.25926
1975-06-01,17.98367
1975-07-01,18.13347
1975-08-01,17.01723
1975-09-01,16.30514
1975-10-01,16.04706
1975-11-01,15.67864
1975-12-01,15.32909
1976-01-01,14.59216
1976-02-01,13.97376
1976-03-01,13.66061
1976-04-01,13.54906
1976-05-01,13.61469
1976-06-01,13.58131
1976-07-01,13.35556
1976-08-01,13.51956
1976-09-01,13.09451
1976-10-01,13.16448
1976-11-01,12.86329
1976-12-01,12.83597
1977-01-01,12.69713
1977-02-01,13.68229
1977-03-01,13.82857
1977-04-01,14.15187
1977-05-01,13.73759
1977-06-01,13.90194
1977-07-01,13.56667
1977-08-01,13.63176
1977-09-01,13.22361
1977-10-01,13.19033
1977-11-01,13.51256
1977-12-01,13.07808
1978-01-01,13.21431
1978-02-01,12.53946
1978-03-01,12.67584
1978-04-01,12.60000
1978-05-01,13.14286
1978-06-01,13.33802
1978-07-01,13.93026
1978-08-01,13.75597
1978-09-01,14.48287
1978-10-01,14.72857
1978-11-01,14.77097
1978-12-01,14.98876
1979-01-01,15.15040
1979-02-01,15.74127
1979-03-01,16.05237
1979-04-01,16.28513
1979-05-01,16.29767
1979-06-01,16.77692
1979-07-01,17.15038
1979-08-01,17.83612
1979-09-01,17.77970
1979-10-01,18.07154
1979-11-01,18.49259
1979-12-01,19.25479
1980-01-01,20.16861
1980-02-01,20.46185
1980-03-01,20.89227
1980-04-01,21.48924
1980-05-01,21.92577
1980-06-01,21.86593
1980-07-01,20.95068
1980-08-01,20.59009
1980-09-01,20.26882
1980-10-01,20.13298
1980-11-01,20.13158
1980-12-01,19.55371
1981-01-01,19.29487
1981-02-01,18.79241
1981-03-01,18.01174
1981-04-01,17.33597
1981-05-01,17.29192
1981-06-01,17.19697
1981-07-01,17.97482
1981-08-01,18.21731
1981-09-01,18.56544
1981-10-01,18.17155
1981-11-01,17.87944
1981-12-01,17.41204
1982-01-01,16.85688
1982-02-01,16.51364
1982-03-01,15.88488
1982-04-01,15.92177
1982-05-01,16.31193
1982-06-01,16.78232
1982-07-01,16.35738
1982-08-01,15.76529
1982-09-01,15.04092
1982-10-01,15.43212
1982-11-01,15.27761
1982-12-01,14.62572
1983-01-01,14.10763
1983-02-01,13.88469
1983-03-01,13.89029
1983-04-01,14.20000
1983-05-01,13.54108
1983-06-01,12.57423
1983-07-01,11.75897
1983-08-01,11.95650
1983-09-01,11.96356
1983-10-01,11.55229
1983-11-01,11.66327
1983-12-01,12.08710
1984-01-01,12.29009
1984-02-01,12.49388
1984-03-01,12.69297
1984-04-01,12.25466
1984-05-01,11.73468
1984-06-01,11.52596
1984-07-01,11.80862
1984-08-01,11.79570
1984-09-01,11.58287
1984-10-01,11.66587
1984-11-01,11.35430
1984-12-01,11.34339
1985-01-01,10.82595
1985-02-01,10.80624
1985-03-01,10.99009
1985-04-01,10.88180
1985-05-01,10.77488
1985-06-01,11.06442
1985-07-01,10.85821
1985-08-01,10.45249
1985-09-01,10.34737
1985-10-01,10.33501
1985-11-01,10.51377
1985-12-01,10.79147
1986-01-01,10.67351
1986-02-01,10.39849
1986-03-01,9.35356
1986-04-01,8.68879
1986-05-01,8.87910
1986-06-01,8.96744
1986-07-01,8.67131
1986-08-01,8.47553
1986-09-01,8.75763
1986-10-01,8.56682
1986-11-01,8.18440
1986-12-01,7.78721
1987-01-01,7.96488
1987-02-01,8.51431
1987-03-01,9.44143
1987-04-01,9.97985
1987-05-01,9.96972
1987-06-01,9.94771
