DATE,WEI
2017-01-07,1.61
2017-01-14,1.85
2017-01-21,1.12
2017-01-28,2.18
2017-02-04,2.55
2017-02-11,1.56
2017-02-18,2.01
2017-02-25,2.08
2017-03-04,2.28
2017-03-11,2.7
2017-03-18,2.51
2017-03-25,2.71
2017-04-01,2.6
2017-04-08,2.34
2017-04-15,2.29
2017-04-22,2.15
2017-04-29,2.5
2017-05-06,2.44
2017-05-13,2.23
2017-05-20,2.65
2017-05-27,1.93
2017-06-03,2.01
2017-06-10,1.96
2017-06-17,2.53
2017-06-24,2.03
2017-07-01,2.23
2017-07-08,2.4
2017-07-15,2.25
2017-07-22,2.14
2017-07-29,2.24
2017-08-05,2.23
2017-08-12,1.97
2017-08-19,2.35
2017-08-26,2.41
2017-09-02,1.84
2017-09-09,2.05
2017-09-16,2.11
2017-09-23,2.58
2017-09-30,2.45
2017-10-07,2.43
2017-10-14,2.6
2017-10-21,2.41
2017-10-28,2.26
2017-11-04,2.34
2017-11-11,2.43
2017-11-18,2.53
2017-11-25,2.26
2017-12-02,2.36
2017-12-09,2.22
2017-12-16,2.25
2017-12-23,2.74
2017-12-30,2.69
2018-01-06,2.43
2018-01-13,2.66
2018-01-20,2.93
2018-01-27,2.49
2018-02-03,2.07
2018-02-10,2.48
2018-02-17,2.34
2018-02-24,2.36
2018-03-03,2.34
2018-03-10,2.09
2018-03-17,2.28
2018-03-24,2.22
2018-03-31,2.22
2018-04-07,2.14
2018-04-14,2.5
2018-04-21,2.28
2018-04-28,1.95
2018-05-05,2.41
2018-05-12,2.36
2018-05-19,1.89
2018-05-26,2.6
2018-06-02,2.43
2018-06-09,2.52
2018-06-16,1.87
2018-06-23,2.05
2018-06-30,2.53
2018-07-07,2.39
2018-07-14,2.25
2018-07-21,2.23
2018-07-28,2.12
2018-08-04,2.28
2018-08-11,2.52
2018-08-18,2.41
2018-08-25,2.6
2018-09-01,3.54
2018-09-08,2.9
2018-09-15,2.72
2018-09-22,2.71
2018-09-29,2.57
2018-10-06,2.86
2018-10-13,2.5
2018-10-20,2.26
2018-10-27,2.69
2018-11-03,2.44
2018-11-10,2.52
2018-11-17,2.33
2018-11-24,2.74
2018-12-01,2.55
2018-12-08,2.54
2018-12-15,2.62
2018-12-22,2.4
2018-12-29,2.01
2019-01-05,1.72
2019-01-12,1.88
2019-01-19,2.29
2019-01-26,2.21
2019-02-02,1.96
2019-02-09,1.49
2019-02-16,1.72
2019-02-23,2.18
2019-03-02,1.91
2019-03-09,1.94
2019-03-16,1.85
2019-03-23,1.64
2019-03-30,1.92
2019-04-06,2.02
2019-04-13,1.79
2019-04-20,2.21
2019-04-27,1.93
2019-05-04,1.93
2019-05-11,1.76
2019-05-18,1.57
2019-05-25,1.64
2019-06-01,1.77
2019-06-08,1.67
2019-06-15,1.71
2019-06-22,1.84
2019-06-29,1.68
2019-07-06,1.94
2019-07-13,1.49
2019-07-20,1.8
2019-07-27,1.59
2019-08-03,1.8
2019-08-10,1.54
2019-08-17,1.48
2019-08-24,1.56
2019-08-31,1.28
2019-09-07,1.58
2019-09-14,1.48
2019-09-21,1.22
2019-09-28,1.5
2019-10-05,1.42
2019-10-12,1.31
2019-10-19,1.41
2019-10-26,1.38
2019-11-02,1.48
2019-11-09,1.41
2019-11-16,1.28
2019-11-23,2.38
2019-11-30,0.85
2019-12-07,0.9
2019-12-14,1.3
2019-12-21,1.8
2019-12-28,1.79
2020-01-04,1.54
2020-01-11,1.06
2020-01-18,1.36
2020-01-25,1.43
2020-02-01,1.78
2020-02-08,1.72
2020-02-15,1.44
2020-02-22,1.36
2020-02-29,1.38
2020-03-07,1.09
2020-03-14,1.03
2020-03-21,-1.18
2020-03-28,-4.04
2020-04-04,-6.06
2020-04-11,-8.18
2020-04-18,-8.64
2020-04-25,-8.78
2020-05-02,-8.83
2020-05-09,-7.93
2020-05-16,-7.97
2020-05-23,-7.51
2020-05-30,-7.28
2020-06-06,-6.9
2020-06-13,-6.15
2020-06-20,-5.57
2020-06-27,-5.37
2020-07-04,-4.86
2020-07-11,-4.62
2020-07-18,-5.36
2020-07-25,-4.71
2020-08-01,-4.45
2020-08-08,-4.02
2020-08-15,-3.96
2020-08-22,-3.22
2020-08-29,-2.52
2020-09-05,-2.67
2020-09-12,-3.85
2020-09-19,-2.81
2020-09-26,-2.87
2020-10-03,-2.5
2020-10-10,-2.1
2020-10-17,-2.18
2020-10-24,-1.69
2020-10-31,-1.47
2020-11-07,-1.43
2020-11-14,-1.52
2020-11-21,-1.43
2020-11-28,-0.71
2020-12-05,-1.05
2020-12-12,-1.25
2020-12-19,-0.59
2020-12-26,0.73
2021-01-02,-0.64
2021-01-09,-0.02
2021-01-16,0.0
2021-01-23,0.05
2021-01-30,-0.38
2021-02-06,-0.36
2021-02-13,0.23
2021-02-20,-1.32
2021-02-27,-0.22
2021-03-06,0.74
2021-03-13,0.92
2021-03-20,3.64
2021-03-27,6.53
2021-04-03,8.29
2021-04-10,10.42
2021-04-17,10.63
2021-04-24,10.69
2021-05-01,10.71
2021-05-08,9.93
2021-05-15,9.95
2021-05-22,9.85
2021-05-29,9.94
2021-06-05,8.19
2021-06-12,9.08
2021-06-19,8.73
2021-06-26,8.27
2021-07-03,8.66
2021-07-10,6.7
2021-07-17,7.35
2021-07-24,7.26
2021-07-31,7.25
2021-08-07,6.6
2021-08-14,7.03
2021-08-21,6.36
2021-08-28,7.05
2021-09-04,6.7
2021-09-11,6.73
2021-09-18,6.6
2021-09-25,6.59
2021-10-02,6.62
2021-10-09,6.01
2021-10-16,6.47
2021-10-23,5.41
2021-10-30,5.8
2021-11-06,5.33
2021-11-13,5.29
2021-11-20,5.73
2021-11-27,6.37
2021-12-04,5.56
2021-12-11,6.11
2021-12-18,5.31
2021-12-25,6.28
2022-01-01,5.46
2022-01-08,4.45
2022-01-15,4.79
2022-01-22,4.94
2022-01-29,5.33
2022-02-05,5.11
2022-02-12,4.97
2022-02-19,6.16
2022-02-26,5.08
2022-03-05,4.61
2022-03-12,4.57
2022-03-19,4.72
2022-03-26,4.22
2022-04-02,4.54
2022-04-09,4.24
2022-04-16,4.26
2022-04-23,4.17
2022-04-30,4.26
2022-05-07,4.16
2022-05-14,4.1
2022-05-21,3.48
2022-05-28,3.38
2022-06-04,3.78
2022-06-11,2.61
2022-06-18,3.14
2022-06-25,2.86
2022-07-02,3.29
2022-07-09,2.77
2022-07-16,3.06
2022-07-23,3.26
2022-07-30,3.02
2022-08-06,3.27
2022-08-13,3.06
2022-08-20,2.93
2022-08-27,2.62
2022-09-03,2.9
2022-09-10,2.7
2022-09-17,1.89
2022-09-24,2.81
2022-10-01,2.29
2022-10-08,1.9
2022-10-15,1.87
2022-10-22,2.33
2022-10-29,2.35
2022-11-05,2.11
2022-11-12,1.71
2022-11-19,1.39
2022-11-26,1.64
2022-12-03,1.3
2022-12-10,0.72
2022-12-17,1.19
