DATE,WEI
2008-01-05,1.68
2008-01-12,1.63
2008-01-19,1.6
2008-01-26,1.1
2008-02-02,0.79
2008-02-09,0.74
2008-02-16,1.27
2008-02-23,1.09
2008-03-01,1.11
2008-03-08,0.62
2008-03-15,0.87
2008-03-22,0.92
2008-03-29,1.37
2008-04-05,1.3
2008-04-12,1.04
2008-04-19,1.16
2008-04-26,0.72
2008-05-03,0.69
2008-05-10,0.72
2008-05-17,0.6
2008-05-24,0.55
2008-05-31,0.49
2008-06-07,0.74
2008-06-14,0.58
2008-06-21,0.19
2008-06-28,0.68
2008-07-05,0.86
2008-07-12,0.45
2008-07-19,0.4
2008-07-26,0.54
2008-08-02,0.55
2008-08-09,0.35
2008-08-16,0.07
2008-08-23,0.13
2008-08-30,0.34
2008-09-06,0.19
2008-09-13,-0.15
2008-09-20,-0.46
2008-09-27,-0.63
2008-10-04,-0.71
2008-10-11,-0.79
2008-10-18,-0.83
2008-10-25,-0.82
2008-11-01,-0.9
2008-11-08,-1.56
2008-11-15,-1.91
2008-11-22,-0.83
2008-11-29,-2.86
2008-12-06,-2.41
2008-12-13,-2.32
2008-12-20,-3.09
2008-12-27,-3.13
2009-01-03,-3.55
2009-01-10,-3.26
2009-01-17,-3.21
2009-01-24,-2.98
2009-01-31,-3.24
2009-02-07,-3.12
2009-02-14,-3.68
2009-02-21,-3.8
2009-02-28,-4.02
2009-03-07,-3.51
2009-03-14,-3.52
2009-03-21,-3.16
2009-03-28,-3.75
2009-04-04,-3.5
2009-04-11,-3.59
2009-04-18,-3.81
2009-04-25,-3.51
2009-05-02,-3.45
2009-05-09,-3.59
2009-05-16,-3.49
2009-05-23,-3.42
2009-05-30,-3.59
2009-06-06,-3.93
2009-06-13,-3.84
2009-06-20,-3.52
2009-06-27,-3.73
2009-07-04,-3.39
2009-07-11,-3.77
2009-07-18,-3.51
2009-07-25,-3.67
2009-08-01,-3.43
2009-08-08,-3.32
2009-08-15,-2.79
2009-08-22,-2.73
2009-08-29,-2.76
2009-09-05,-2.14
2009-09-12,-2.65
2009-09-19,-1.86
2009-09-26,-1.77
2009-10-03,-1.59
2009-10-10,-1.27
2009-10-17,-1.14
2009-10-24,-0.89
2009-10-31,-0.59
2009-11-07,-0.22
2009-11-14,0.24
2009-11-21,0.53
2009-11-28,1.06
2009-12-05,0.86
2009-12-12,1.11
2009-12-19,2.04
2009-12-26,2.26
2010-01-02,1.86
2010-01-09,1.82
2010-01-16,1.84
2010-01-23,1.62
2010-01-30,2.1
2010-02-06,2.39
2010-02-13,2.57
2010-02-20,3.17
2010-02-27,3.44
2010-03-06,3.45
2010-03-13,3.41
2010-03-20,3.29
2010-03-27,3.87
2010-04-03,3.48
2010-04-10,3.77
2010-04-17,3.85
2010-04-24,3.88
2010-05-01,4.18
2010-05-08,4.35
2010-05-15,4.22
2010-05-22,3.9
2010-05-29,4.92
2010-06-05,4.1
2010-06-12,4.15
2010-06-19,4.26
2010-06-26,4.18
2010-07-03,4.61
2010-07-10,3.58
2010-07-17,3.84
2010-07-24,4.26
2010-07-31,3.89
2010-08-07,3.82
2010-08-14,3.73
2010-08-21,3.77
2010-08-28,3.62
2010-09-04,3.93
2010-09-11,3.58
2010-09-18,3.42
2010-09-25,3.64
2010-10-02,3.27
2010-10-09,2.94
2010-10-16,3.2
2010-10-23,3.43
2010-10-30,3.25
2010-11-06,3.24
2010-11-13,3.12
2010-11-20,2.99
2010-11-27,3.23
2010-12-04,3.45
2010-12-11,3.16
2010-12-18,3.04
2010-12-25,4.12
2011-01-01,3.41
2011-01-08,3.0
2011-01-15,3.01
2011-01-22,3.11
2011-01-29,3.07
2011-02-05,2.66
2011-02-12,3.17
2011-02-19,2.75
2011-02-26,2.53
2011-03-05,2.64
2011-03-12,2.75
2011-03-19,2.78
2011-03-26,2.49
2011-04-02,2.77
2011-04-09,2.78
2011-04-16,2.68
2011-04-23,2.61
2011-04-30,2.2
2011-05-07,1.81
2011-05-14,2.27
2011-05-21,2.15
2011-05-28,1.97
2011-06-04,2.19
2011-06-11,2.15
2011-06-18,2.05
2011-06-25,1.75
2011-07-02,2.21
2011-07-09,2.0
2011-07-16,1.95
2011-07-23,1.96
2011-07-30,2.32
2011-08-06,2.35
2011-08-13,1.73
2011-08-20,1.72
2011-08-27,2.02
2011-09-03,1.85
2011-09-10,1.81
2011-09-17,1.84
2011-09-24,1.64
2011-10-01,2.11
2011-10-08,2.18
2011-10-15,1.99
2011-10-22,1.64
2011-10-29,2.02
2011-11-05,1.94
2011-11-12,2.03
2011-11-19,1.95
2011-11-26,1.85
2011-12-03,1.69
2011-12-10,1.44
2011-12-17,2.02
2011-12-24,2.14
2011-12-31,1.54
2012-01-07,1.22
2012-01-14,1.35
2012-01-21,1.75
2012-01-28,1.16
2012-02-04,1.36
2012-02-11,1.41
2012-02-18,1.49
2012-02-25,1.67
2012-03-03,1.55
2012-03-10,1.71
2012-03-17,1.35
2012-03-24,1.79
2012-03-31,1.97
2012-04-07,2.04
2012-04-14,1.99
2012-04-21,1.92
2012-04-28,2.24
2012-05-05,2.6
2012-05-12,2.05
2012-05-19,2.03
2012-05-26,2.3
2012-06-02,1.88
2012-06-09,1.84
2012-06-16,1.88
2012-06-23,2.07
2012-06-30,2.18
2012-07-07,2.19
2012-07-14,1.86
2012-07-21,1.63
2012-07-28,1.77
2012-08-04,1.99
2012-08-11,2.18
2012-08-18,1.85
2012-08-25,1.6
2012-09-01,2.12
2012-09-08,2.33
2012-09-15,1.99
2012-09-22,1.91
2012-09-29,2.02
2012-10-06,1.94
2012-10-13,2.07
2012-10-20,1.91
2012-10-27,1.79
2012-11-03,1.22
2012-11-10,1.68
2012-11-17,1.9
2012-11-24,2.2
2012-12-01,1.92
2012-12-08,1.43
2012-12-15,1.92
2012-12-22,2.17
2012-12-29,2.04
2013-01-05,2.24
2013-01-12,2.54
2013-01-19,2.34
2013-01-26,2.44
2013-02-02,2.3
2013-02-09,1.9
2013-02-16,2.06
2013-02-23,1.97
2013-03-02,1.96
2013-03-09,1.71
2013-03-16,1.82
2013-03-23,1.85
2013-03-30,1.58
2013-04-06,1.55
2013-04-13,1.41
2013-04-20,1.68
2013-04-27,1.37
2013-05-04,1.16
2013-05-11,1.44
2013-05-18,1.81
2013-05-25,1.39
2013-06-01,1.85
2013-06-08,1.51
2013-06-15,2.03
2013-06-22,1.88
2013-06-29,2.14
2013-07-06,1.92
2013-07-13,1.99
2013-07-20,2.3
2013-07-27,1.84
2013-08-03,1.79
2013-08-10,1.79
2013-08-17,1.9
2013-08-24,2.22
2013-08-31,2.42
2013-09-07,2.33
2013-09-14,2.56
2013-09-21,2.13
2013-09-28,2.0
2013-10-05,2.19
2013-10-12,1.93
2013-10-19,1.86
2013-10-26,2.4
2013-11-02,2.94
2013-11-09,2.1
2013-11-16,2.23
2013-11-23,3.4
2013-11-30,1.9
2013-12-07,1.88
2013-12-14,2.17
2013-12-21,2.54
2013-12-28,2.31
2014-01-04,1.85
2014-01-11,1.37
2014-01-18,1.43
2014-01-25,1.99
2014-02-01,1.88
2014-02-08,1.71
2014-02-15,1.8
2014-02-22,1.9
2014-03-01,2.12
2014-03-08,2.49
2014-03-15,2.62
2014-03-22,2.47
2014-03-29,2.62
2014-04-05,2.59
2014-04-12,2.45
2014-04-19,2.08
2014-04-26,2.47
2014-05-03,2.57
2014-05-10,2.69
2014-05-17,2.18
2014-05-24,2.48
2014-05-31,2.44
2014-06-07,2.35
2014-06-14,2.23
2014-06-21,2.21
2014-06-28,1.86
2014-07-05,2.67
2014-07-12,2.25
2014-07-19,1.81
2014-07-26,2.27
2014-08-02,2.64
2014-08-09,2.38
2014-08-16,2.29
2014-08-23,2.4
2014-08-30,2.5
2014-09-06,2.33
2014-09-13,2.18
2014-09-20,2.39
2014-09-27,2.38
2014-10-04,2.35
2014-10-11,2.61
2014-10-18,2.49
2014-10-25,2.4
2014-11-01,2.24
2014-11-08,2.41
2014-11-15,2.37
2014-11-22,2.66
2014-11-29,2.62
2014-12-06,2.82
2014-12-13,2.69
2014-12-20,2.97
2014-12-27,3.09
2015-01-03,2.24
2015-01-10,2.86
2015-01-17,2.79
2015-01-24,2.21
2015-01-31,2.3
2015-02-07,2.34
2015-02-14,2.78
2015-02-21,2.55
2015-02-28,2.11
2015-03-07,1.9
2015-03-14,2.08
2015-03-21,1.97
2015-03-28,2.14
2015-04-04,2.02
2015-04-11,1.84
2015-04-18,2.11
2015-04-25,2.05
2015-05-02,1.92
2015-05-09,1.84
2015-05-16,1.9
2015-05-23,1.67
2015-05-30,1.37
2015-06-06,1.84
2015-06-13,1.87
2015-06-20,1.8
2015-06-27,1.72
2015-07-04,1.6
2015-07-11,1.45
2015-07-18,2.0
2015-07-25,1.59
2015-08-01,1.74
2015-08-08,1.73
2015-08-15,2.12
2015-08-22,1.61
2015-08-29,1.23
2015-09-05,2.02
2015-09-12,1.23
2015-09-19,1.71
2015-09-26,1.54
2015-10-03,1.71
2015-10-10,1.3
2015-10-17,1.61
2015-10-24,1.43
2015-10-31,1.28
2015-11-07,1.13
2015-11-14,0.89
2015-11-21,0.4
2015-11-28,1.01
2015-12-05,1.17
2015-12-12,0.33
2015-12-19,0.51
2015-12-26,0.66
2016-01-02,0.44
2016-01-09,0.24
2016-01-16,0.47
2016-01-23,0.71
2016-01-30,0.82
2016-02-06,0.97
2016-02-13,1.1
2016-02-20,1.16
2016-02-27,0.87
2016-03-05,1.17
2016-03-12,0.78
2016-03-19,0.76
2016-03-26,0.56
2016-04-02,0.79
2016-04-09,1.22
2016-04-16,1.14
2016-04-23,0.96
2016-04-30,1.32
2016-05-07,0.97
2016-05-14,1.35
2016-05-21,1.09
2016-05-28,2.16
2016-06-04,1.03
2016-06-11,1.31
2016-06-18,1.41
2016-06-25,1.46
2016-07-02,2.1
2016-07-09,0.94
2016-07-16,1.34
2016-07-23,1.69
2016-07-30,1.55
2016-08-06,1.71
2016-08-13,1.35
2016-08-20,1.48
2016-08-27,1.54
2016-09-03,1.42
2016-09-10,1.34
2016-09-17,1.36
2016-09-24,1.35
2016-10-01,1.6
2016-10-08,1.64
2016-10-15,1.37
2016-10-22,1.45
2016-10-29,1.68
2016-11-05,1.85
2016-11-12,1.68
2016-11-19,2.07
2016-11-26,1.91
2016-12-03,1.74
2016-12-10,2.0
2016-12-17,2.31
2016-12-24,3.2
2016-12-31,2.01
2017-01-07,1.61
2017-01-14,1.85
2017-01-21,1.12
2017-01-28,2.18
2017-02-04,2.55
2017-02-11,1.56
2017-02-18,2.01
2017-02-25,2.08
2017-03-04,2.28
2017-03-11,2.7
2017-03-18,2.51
2017-03-25,2.71
2017-04-01,2.6
2017-04-08,2.34
2017-04-15,2.29
2017-04-22,2.15
2017-04-29,2.5
2017-05-06,2.44
2017-05-13,2.23
2017-05-20,2.65
2017-05-27,1.93
2017-06-03,2.01
2017-06-10,1.96
2017-06-17,2.53
2017-06-24,2.03
2017-07-01,2.23
2017-07-08,2.4
2017-07-15,2.25
2017-07-22,2.14
2017-07-29,2.24
2017-08-05,2.23
2017-08-12,1.97
2017-08-19,2.35
2017-08-26,2.41
2017-09-02,1.84
2017-09-09,2.05
2017-09-16,2.11
2017-09-23,2.58
2017-09-30,2.45
2017-10-07,2.43
2017-10-14,2.6
2017-10-21,2.41
2017-10-28,2.26
2017-11-04,2.34
2017-11-11,2.43
2017-11-18,2.53
2017-11-25,2.26
2017-12-02,2.36
2017-12-09,2.22
2017-12-16,2.25
2017-12-23,2.74
2017-12-30,2.69
2018-01-06,2.43
2018-01-13,2.66
2018-01-20,2.93
2018-01-27,2.49
2018-02-03,2.07
2018-02-10,2.48
2018-02-17,2.34
2018-02-24,2.36
2018-03-03,2.34
2018-03-10,2.09
2018-03-17,2.28
2018-03-24,2.22
2018-03-31,2.22
2018-04-07,2.14
2018-04-14,2.5
2018-04-21,2.28
2018-04-28,1.95
2018-05-05,2.41
2018-05-12,2.36
2018-05-19,1.89
2018-05-26,2.6
2018-06-02,2.43
2018-06-09,2.52
2018-06-16,1.87
2018-06-23,2.05
2018-06-30,2.53
2018-07-07,2.39
2018-07-14,2.25
2018-07-21,2.23
2018-07-28,2.12
2018-08-04,2.28
2018-08-11,2.52
2018-08-18,2.41
2018-08-25,2.6
2018-09-01,3.54
2018-09-08,2.9
2018-09-15,2.72
2018-09-22,2.71
2018-09-29,2.57
2018-10-06,2.86
2018-10-13,2.5
2018-10-20,2.26
2018-10-27,2.69
2018-11-03,2.44
2018-11-10,2.52
2018-11-17,2.33
2018-11-24,2.74
2018-12-01,2.55
2018-12-08,2.54
2018-12-15,2.62
2018-12-22,2.4
2018-12-29,2.01
2019-01-05,1.72
2019-01-12,1.88
2019-01-19,2.29
2019-01-26,2.21
2019-02-02,1.96
2019-02-09,1.49
2019-02-16,1.72
2019-02-23,2.18
2019-03-02,1.91
2019-03-09,1.94
2019-03-16,1.85
2019-03-23,1.64
2019-03-30,1.92
2019-04-06,2.02
2019-04-13,1.79
2019-04-20,2.21
2019-04-27,1.93
2019-05-04,1.93
2019-05-11,1.76
2019-05-18,1.57
2019-05-25,1.64
2019-06-01,1.77
2019-06-08,1.67
2019-06-15,1.71
2019-06-22,1.84
2019-06-29,1.68
2019-07-06,1.94
2019-07-13,1.49
2019-07-20,1.8
2019-07-27,1.59
2019-08-03,1.8
2019-08-10,1.54
2019-08-17,1.48
2019-08-24,1.56
2019-08-31,1.28
2019-09-07,1.58
2019-09-14,1.48
2019-09-21,1.22
2019-09-28,1.5
2019-10-05,1.42
2019-10-12,1.31
2019-10-19,1.41
2019-10-26,1.38
2019-11-02,1.48
2019-11-09,1.41
2019-11-16,1.28
2019-11-23,2.38
2019-11-30,0.85
2019-12-07,0.9
2019-12-14,1.3
2019-12-21,1.8
2019-12-28,1.79
2020-01-04,1.54
2020-01-11,1.06
2020-01-18,1.36
2020-01-25,1.43
2020-02-01,1.78
2020-02-08,1.72
2020-02-15,1.44
2020-02-22,1.36
2020-02-29,1.38
2020-03-07,1.09
2020-03-14,1.03
2020-03-21,-1.18
2020-03-28,-4.04
2020-04-04,-6.06
2020-04-11,-8.18
2020-04-18,-8.64
2020-04-25,-8.78
2020-05-02,-8.83
2020-05-09,-7.93
2020-05-16,-7.97
2020-05-23,-7.51
2020-05-30,-7.28
2020-06-06,-6.9
2020-06-13,-6.15
2020-06-20,-5.57
2020-06-27,-5.37
2020-07-04,-4.86
2020-07-11,-4.62
2020-07-18,-5.36
2020-07-25,-4.71
2020-08-01,-4.45
2020-08-08,-4.02
2020-08-15,-3.96
2020-08-22,-3.22
2020-08-29,-2.52
2020-09-05,-2.67
2020-09-12,-3.85
2020-09-19,-2.82
2020-09-26,-2.87
2020-10-03,-2.5
2020-10-10,-2.1
2020-10-17,-2.18
2020-10-24,-1.69
2020-10-31,-1.47
2020-11-07,-1.43
2020-11-14,-1.52
2020-11-21,-1.43
2020-11-28,-0.71
2020-12-05,-1.05
2020-12-12,-1.25
2020-12-19,-0.59
2020-12-26,0.73
2021-01-02,-0.64
2021-01-09,-0.02
2021-01-16,0.0
2021-01-23,0.05
2021-01-30,-0.38
2021-02-06,-0.36
2021-02-13,0.23
2021-02-20,-1.32
2021-02-27,-0.22
2021-03-06,0.74
2021-03-13,0.92
2021-03-20,3.64
2021-03-27,6.53
2021-04-03,8.29
2021-04-10,10.42
2021-04-17,10.63
2021-04-24,10.69
2021-05-01,10.71
2021-05-08,9.93
2021-05-15,9.95
2021-05-22,9.85
2021-05-29,9.94
2021-06-05,8.19
2021-06-12,9.08
2021-06-19,8.73
2021-06-26,8.27
2021-07-03,8.66
2021-07-10,6.7
2021-07-17,7.35
2021-07-24,7.26
2021-07-31,7.25
2021-08-07,6.6
2021-08-14,7.03
2021-08-21,6.36
2021-08-28,7.05
2021-09-04,6.7
2021-09-11,6.73
2021-09-18,6.6
2021-09-25,6.59
2021-10-02,6.62
2021-10-09,6.01
2021-10-16,6.47
2021-10-23,5.41
2021-10-30,5.8
2021-11-06,5.33
2021-11-13,5.29
2021-11-20,5.73
2021-11-27,6.37
2021-12-04,5.56
2021-12-11,6.11
2021-12-18,5.31
2021-12-25,6.28
2022-01-01,5.43
2022-01-08,4.45
2022-01-15,4.79
2022-01-22,4.94
2022-01-29,5.33
2022-02-05,5.11
2022-02-12,4.97
2022-02-19,6.16
2022-02-26,5.08
2022-03-05,4.61
2022-03-12,4.57
2022-03-19,4.72
2022-03-26,4.22
2022-04-02,4.54
2022-04-09,4.24
2022-04-16,4.26
2022-04-23,4.17
2022-04-30,4.26
2022-05-07,4.16
2022-05-14,4.1
2022-05-21,3.48
2022-05-28,3.38
2022-06-04,3.78
2022-06-11,2.61
2022-06-18,3.14
2022-06-25,2.86
2022-07-02,3.29
2022-07-09,2.77
2022-07-16,3.06
2022-07-23,3.26
2022-07-30,3.02
2022-08-06,3.27
2022-08-13,3.06
2022-08-20,2.93
2022-08-27,2.62
2022-09-03,2.9
2022-09-10,2.7
2022-09-17,1.89
2022-09-24,2.81
2022-10-01,2.29
2022-10-08,1.9
2022-10-15,1.87
2022-10-22,2.33
2022-10-29,2.35
2022-11-05,2.11
2022-11-12,1.71
2022-11-19,1.39
2022-11-26,1.64
2022-12-03,1.3
2022-12-10,0.73
2022-12-17,1.57
2022-12-24,2.05
2022-12-31,1.82
